index,whisky,score,reviews,cost,class,cluster,country,type
1,Ledaig 42yo Dusgadh,9.46,3,6,SingleMalt-like,C,Scotland,Malt
2,Glenfarclas 40yo,9.28,14,6,SingleMalt-like,A,Scotland,Malt
3,Glengoyne 25yo,9.21,14,6,SingleMalt-like,A,Scotland,Malt
4,Amrut Spectrum (Batch 1),9.18,10,5,SingleMalt-like,C,India,Malt
5,Highland Park 40yo,9.17,10,6,SingleMalt-like,C,Scotland,Malt
6,Aberlour A'Bunadh (Batch 49),9.15,7,4,SingleMalt-like,A,Scotland,Malt
7,Balvenie TUN 1401 (all 8 batches),9.14,16,6,SingleMalt-like,A,Scotland,Malt
8,Highland Park 25yo,9.14,14,6,SingleMalt-like,C,Scotland,Malt
9,Highland Park 30yo,9.14,12,6,SingleMalt-like,C,Scotland,Malt
10,Laphroaig 25yo,9.14,18,6,SingleMalt-like,C,Scotland,Malt
11,Amrut Spectrum (all batches),9.13,10,5,SingleMalt-like,C,India,Malt
12,Yamazaki 18yo,9.13,21,5,SingleMalt-like,C,Japan,Malt
13,Aberlour A'Bunadh (Batch 33),9.12,5,4,SingleMalt-like,A,Scotland,Malt
14,Amrut Greedy Angels (8yo and 10yo),9.12,8,6,SingleMalt-like,C,India,Malt
15,Amrut Spectrum 004 (Batch 2),9.12,3,5,SingleMalt-like,C,India,Malt
16,Compass Box Last Vatted Malt,9.11,4,5,SingleMalt-like,C,Scotland,Malt
17,Kavalan Solist Amontillado Cask,9.11,4,6,SingleMalt-like,A,Taiwan,Malt
18,Nikka Single Cask Coffey Malt 12yo,9.11,9,5,SingleMalt-like,C,Japan,Malt
19,Redbreast 21yo,9.11,17,5,SingleMalt-like,C,Ireland,Malt
20,Tamdhu 30yo (MacPhail Collection 2009),9.11,3,5,SingleMalt-like,A,Scotland,Malt
21,Aberlour A'Bunadh (Batch 37),9.1,3,4,SingleMalt-like,A,Scotland,Malt
22,Aberlour A'Bunadh (Batch 40),9.09,4,4,SingleMalt-like,A,Scotland,Malt
23,Highland Park 16yo Odin,9.08,7,6,SingleMalt-like,C,Scotland,Malt
24,Sheep Dip Old Hebridean 1990 Blended Malt,9.08,6,4,SingleMalt-like,C,Scotland,Malt
25,Yamazaki Sherry Cask (all vintages),9.08,11,6,SingleMalt-like,A,Japan,Malt
26,Aberlour A'Bunadh (Batch 52),9.07,4,4,SingleMalt-like,A,Scotland,Malt
27,Highland Park 18yo,9.07,25,5,SingleMalt-like,C,Scotland,Malt
28,Kavalan Solist PX Cask,9.07,6,6,SingleMalt-like,A,Taiwan,Malt
29,Bowmore Springtide,9.06,4,5,SingleMalt-like,C,Scotland,Malt
30,GlenDronach Cask Strength (batch 1),9.06,6,4,SingleMalt-like,A,Scotland,Malt
31,Kavalan Solist Manzanilla Cask,9.06,4,6,SingleMalt-like,C,Taiwan,Malt
32,Kavalan Solist Sherry Cask,9.06,18,5,SingleMalt-like,A,Taiwan,Malt
33,BenRiach 18yo Albariza Pedro Ximenez Peated,9.04,7,5,SingleMalt-like,C,Scotland,Malt
34,Aberlour A'Bunadh (Batch 39),9.03,8,4,SingleMalt-like,A,Scotland,Malt
35,Aberlour A'Bunadh (Batch 53),9.03,4,4,SingleMalt-like,A,Scotland,Malt
36,GlenDronach Cask Strength (batch 2),9.03,7,4,SingleMalt-like,A,Scotland,Malt
37,Kilchoman Port Cask Matured,9.03,8,5,SingleMalt-like,C,Scotland,Malt
38,Benromach 10yo Cask Strength (100 proof),9.02,14,4,SingleMalt-like,C,Scotland,Malt
39,Highland Park 15yo Loki,9.02,16,6,SingleMalt-like,C,Scotland,Malt
40,Karuizawa 1990 Sherry Butt,9.02,4,6,SingleMalt-like,A,Japan,Malt
41,GlenDronach vintage 20yo Single Cask (all vintages),9.01,14,5,SingleMalt-like,A,Scotland,Malt
42,Aberlour A'Bunadh (Batch 35),9,5,4,SingleMalt-like,A,Scotland,Malt
43,Bruichladdich 21yo Cuví©e 407 PX,9,4,6,SingleMalt-like,A,Scotland,Malt
44,Aberlour A'Bunadh (Batch 36),8.99,4,4,SingleMalt-like,A,Scotland,Malt
45,Arran Malt 21st Anniversary Edition,8.99,5,5,SingleMalt-like,C,Scotland,Malt
46,Bladnoch 12yo Sherry Cask (Sheep label),8.99,3,5,SingleMalt-like,C,Scotland,Malt
47,Kavalan Solist Fino Sherry Cask,8.99,12,6,SingleMalt-like,A,Taiwan,Malt
48,Kavalan Solist Vinho Barrique,8.99,15,5,SingleMalt-like,A,Taiwan,Malt
49,Springbank 21yo,8.99,12,6,SingleMalt-like,C,Scotland,Malt
50,Aberlour A'Bunadh (Batch 45),8.98,7,4,SingleMalt-like,A,Scotland,Malt
51,Amrut Portonova,8.98,18,4,SingleMalt-like,C,India,Malt
52,Bunnahabhain 18yo,8.98,18,5,SingleMalt-like,C,Scotland,Malt
53,Glenmorangie Signet,8.98,20,5,SingleMalt-like,C,Scotland,Malt
54,Amrut Intermediate Sherry,8.97,19,4,SingleMalt-like,B,India,Malt
55,Amrut PX Sherry Single Cask 2696 (LCBO),8.97,6,5,SingleMalt-like,B,India,Malt
56,BenRiach 17yo Solstice Peated Port (both editions),8.97,14,4,SingleMalt-like,C,Scotland,Malt
57,Hakushu Sherry Cask,8.97,7,6,SingleMalt-like,B,Japan,Malt
